comments,nametag
Kiên Duy Nguyễn diệt tộc:))),Kiên Duy Nguyễn
Kiên Duy Nguyễn họ đưa đi ko cho giải thích lun,Kiên Duy Nguyễn
Kiên Duy Nguyễn người Triều Tiên làm éo gì có cơ hội ra khỏi chuồng của thằng Ủn!,Kiên Duy Nguyễn
Kiên Duy Nguyễn thì ăn kẹo đồng,Kiên Duy Nguyễn
Kiên Duy Nguyễn bắn trước khi dc giải thích,Kiên Duy Nguyễn
"Kiên Duy Nguyễn dưới chế độ độc tài thì vậy thôi.
Giờ dân mỹ nó treo cờ Triều Tiên thì chẳng sao.",Kiên Duy Nguyễn
Kiên Duy Nguyễn nó cho cả họ ngòm chứ không phải chỉ có 2 vc đâu nhá,Kiên Duy Nguyễn
Kiên Duy Nguyễn thì thà giết lầm hơn bỏ sót không nói nhiều khỏi điều tra rồm rà tháng về đc 2 lần,Kiên Duy Nguyễn
Kiên Duy Nguyễn ví dụ ông mà là người hamas sẽ như thế nào nhỉ? Có bị Israel nã pháo cho bay trong vòng nốt nhạc không,Kiên Duy Nguyễn
Kiên Duy Nguyễn Triều Tiên bắn luôn,Kiên Duy Nguyễn
Kiên Duy Nguyễn thì đi bằng chảo chứ còn gì nữa.có thế mà cũng ko biết,Kiên Duy Nguyễn
Kiên Duy Nguyễn liên hoàn súng máy,Kiên Duy Nguyễn
Kiên Duy Nguyễn thế thì chắc trói vào tên lửa cho lên giời luôn,Kiên Duy Nguyễn
Kiên Duy Nguyễn Bùm.… xin hết,Kiên Duy Nguyễn
Kiên Duy Nguyễn cả họ lên dĩa,Kiên Duy Nguyễn
Kiên Duy Nguyễn bắn trong ngày,Kiên Duy Nguyễn
"Kiên Duy Nguyễn thì Ủn cho ăn cám luôn, lưu đài biệt xứ.",Kiên Duy Nguyễn
Kiên Duy Nguyễn cử ngay sát thủ khử,Kiên Duy Nguyễn
"Kiên Duy Nguyễn 1 vợ 2 con thì lo cs của mình đi phát bỉu ngu vl,
thế mày thik vn giống triều tiên lắm ak, đến lúc như triều tiên lại đòi 2 chữ quyền lợi, đòi tự do gào khóc như mới đẻ, vn đang ra sức phát triển và mở rộng đối ngoại, mỹ là 1 đất nước p… See more",Kiên Duy Nguyễn
Kiên Duy Nguyễn thì người nhà lên mxh thanh minh hộ,Kiên Duy Nguyễn
Kiên Duy Nguyễn thì hôm sau Triều Tiên họ cử sát thủ tới gấp chứ sao !,Kiên Duy Nguyễn
Kiên Duy Nguyễn k nói nhiều chỉ 1 nút bấm thôi,Kiên Duy Nguyễn
Kiên Duy Nguyễn thằng heo nó bắn đại bác,Kiên Duy Nguyễn
"Cần lên án mạnh, ko gì là vô tình cả mà là cố ý luôn",
"Trần Lanh chuẩn, cái lá cờ sờ sờ ra đó mà nói không để ý.",Trần Lanh
"Nguyễn Hồng Dũng Đứa cận còn thấy huống chi đứa không cận. Đây rõ ràng cố tình, mà cái nhà tình nguyện cho ở nhờ cx có vấn đề",Nguyễn Hồng Dũng
Trần Lanh tiktok có mấy clip tụi nghệ sĩ khác kìa....đa phần trong giới đấy..giờ biến chất 1 bầy rồi,Trần Lanh
"Trần Lanh ý nó là vô tình lọt vào camera. Còn nếu ko, chúng ta sẽ không biết có lũ 3/ vẫn âm thầm .",Trần Lanh
Hùng Hoàng tat ca do chinh quyen viet cong qua la xem trong la co quoc gia ma thoi...chu xu tu do chang ai them quan tam chuyen nho nhat vat vanh cua cap vo chong nay lam gi !!,Hùng Hoàng
"Vô tình mới lộ cái bé tý, còn ở ngoài chắc toàn cái to tát hơn",
Nguyễn Phú Hải đấy là k kiểm soát hết những gì lọt vào cam. Còn kiểm soát thì chắc là chưa lộ nguyên hình sớm thế đc,Nguyễn Phú Hải
Nguyễn Phú Hải a im mẹ mồm đi. Quan tâm gì lũ khát nước như này. Chúng nó k mua hàng vn đâu,Nguyễn Phú Hải
"Nguyễn Thành Đạt rảnh đói, đi hóng drama :))",Nguyễn Thành Đạt
Nguyễn Phú Hải mấy thằng ngu này sẽ mất sự nghiệp sớm thôi. Hôm bữa có thằng hưng thợ hát nữa.,Nguyễn Phú Hải
Quốc Việt nào thế báo,
"Nguyễn Cường báo này ẩu rồi, đính chính dùm đê",Nguyễn Cường
Long Phi viết lấy thành tích hay sao ấy bác,Long Phi
Nguyễn Cường viết né tên đó bạn ơi.,Nguyễn Cường
Hữu Minh dạ cảm ơn bác nhé!,Hữu Minh
Nguyễn Cường viết quốc nghiệp n cho bay bài luôn đó. Mấy báo viết về scandal này bay màu hết bài viết r,Nguyễn Cường
Phiêu Du vậy ạ. Cảm ơn bác nhé!,Phiêu Du
Phiêu Du sợ.,Phiêu Du
Nguyễn Cường Quốc Việt là tên Mỹ của Quốc Nghiệp.,Nguyễn Cường
"Lê Công Cương
đáng lẽ tên Việt phải là Quốc Kỳ bác nhỉ",Lê Công Cương
"Nguyễn Cường sao bác chụp ảnh em, ngại thế.",Nguyễn Cường
Trung Thịnh xin lỗi bác nhé,Trung Thịnh
Nguyễn Cường bọn báo lá cải này báo gì chứ. Viết còn sai bày đặt đi chê bai người khác,Nguyễn Cường
Chuyện Đêm Mưa,Chuyện Đêm Mưa
Nguyễn Cường phải nói là đứa nào đó nó quân sư cho nó pha chữa cháy được đấy. Không có chế tài mạnh mẽ hơn rồi sẽ có nhiều vụ khác tương tự sảy ra. Chúng nó sẽ lấy chính cái lòng yêu nước và niềm tự tôn dân tộc của chính người Việt Nam để làm công cụ c… See more,Nguyễn Cường
Cuong Nguyen vâng bác. Cứ yêu nước mộc mạc thôi ạ,Cuong Nguyen
"Cuong Nguyen thực ra cũng phải tầm 4 năm nay người ta đã kêu gọi phải phong sát đám "" xướng ca vô loài"" này rồi. Bởi vì chúng quá ảo tưởng",Cuong Nguyen
Vàng Văn Dự các cơ quan chức năng chắc chắn người ta đều có nghiên cứu và đánh giá. Đủ chín là sẽ hái thôi.,Vàng Văn Dự
Nguyễn Cường rút kinh nghiệm. Sau quay cẩn thận hơn à. Mà làm gì có lần sau,Nguyễn Cường
Huân Huân chấm hết phải không bác,Huân Huân
Nguyễn Cường Là cái người viết mấy cái dòng đó để nhờ FB Quốc Nghiệp lấy đăng.,Nguyễn Cường
Còong Lại Gia,Còong Lại Gia
"Nguyễn Cường là nó nè
đệ tử ruột của chân quang nữa mà. Có thầy bảo vệ thì nó sợ gì",Nguyễn Cường
Đàm Nhẫn chết dở,Đàm Nhẫn
"Nguyễn Cường đừng chạm đến đệ tử nó. Ko là nó phán câu nhân quả ""chạm vào đệ tử nó"" nghe lại tức cười đó. Chứ thấy nó phán mấy loại nhân quả như karaoke bị quả câm là hết thuốc chữa nó rồi",Nguyễn Cường
Đàm Nhẫn bất lực luôn bác nhỉ,Đàm Nhẫn
Đàm Nhẫn ??? len quan,Đàm Nhẫn
"Do Tuan Sư phụ nó độ nó rồi. Lên quan ở nhà Sư phụ nó tụng cho nó siêu thăng là nó hết tai qua nạn ""đến"" à",Do Tuan
Clm trên thì quốc việt dưới thì quốc nghiệp. Chốt lại là quốc lủi đúng k ?,
Vinh Vênh dừng lại vài giây đi broo,Vinh Vênh
"Quocc Anhh rõ là dàn dựng mà.
Quả này cho quả quốc lủi này nhẳm thôi chứ đúng rồi cãi j nữa",Quocc Anhh
Vinh Vênh phản quốc chứ,Vinh Vênh
Nguyễn Đình Hậu ấy bro nói căng thế.,Nguyễn Đình Hậu
Vinh Vênh Quốc hận bạn nhé,Vinh Vênh
Cali mãi là cali,
Anh Khoa t nói thật thì miền nam bây h cx đầy đứa 3 que chứ còn vụ này thì do dòng họ nó chứ nó thế hệ sau mà?,Anh Khoa
Đt Minh Đức sao cứ sang mẽo là phải theo 3/ nhỉ k hiểu,Đt Minh Đức
"Anh Khoa bên đấy bake đầy , con ông cháu cha bên đó đang chờ thẻ xanh , nói chi ai k muốn qua đó kkkk , tại cái miệng hay chê này chê kia , chứ ham muốn thấy mẹ",Anh Khoa
Súp Cua Óc Heo tội đứa con có thằng cha 3 que,Súp Cua Óc Heo
"Đỗ Mạnh Hùng có tờ giấy chút xíu mà cũng sợ , nói làm gì nữa",Đỗ Mạnh Hùng
"Anh Khoa Bởi vì không theo 3/ thì khó sống với bọn nó , tư tưởng ngoại bang nên qua mẽo là đâm quê hương cắn đồng bào",Anh Khoa
Súp Cua Óc Heo chả biết ai sợ ai mà đi đâu bọn 3/// cũng ko dám đăng nổi cái hình bản thân lên trang cá nhân,Súp Cua Óc Heo
"Đinh Văn Trường đụ má lại nói 3/ , đọc kỹ cái comment đi thằng e ạ",Đinh Văn Trường
Súp Cua Óc Heo thế nói ai sợ cái tờ giấy,Súp Cua Óc Heo
"Đinh Văn Trường thì có cái tờ giấy in hình đó thôi , làm ầm lên ,ở nhờ nhà ngta thì đồ của ngta , có gì phải căng , tao k bênh vực phía nào hết",Đinh Văn Trường
Súp Cua Óc Heo sợ hả ai sợ thế. Chỉ là chúng nó là người của công chúng mà lại để hình ảnh ảnh hưởng đến an ninh quốc gia sẽ làm hỏng thế hệ sau. Vậy nên nhà nước và những người yêu nước họ sẽ loại bỏ khỏi XH thôi,Súp Cua Óc Heo
"Đinh Văn Trường sai rồi , loại khỏi xã hội là chết , k lẽ vì 1 cái hình bị chết ahihi",Đinh Văn Trường
Anh Khoa 3 sọc thì mãi là ba que,Anh Khoa
Luat Lê Anh,Luat Lê Anh
Anh Khoa nó là 1 thành phần của phân bón thôi mà :)),Anh Khoa
Người ta lỡ chơi chung vs chó thì bỏ qua ! Chứ nó làm bạn luôn với chó thì tẩy chay chứ để đẻ trứng làm gì,
"Đặng Tâm thế h tôi bảo b ăn cức b có ăn không ? Chả nhẽ giờ nó lại nhận là nhà của nó à ? Người bthg nhìn thấy lá cờ /// là đã k chấp nhận được rồi, mõm bảo yêu nước nếu thấy nhà tình nguyện viên như thế thì đã k ở rồi đây còn thân mật các thứ :))",Đặng Tâm
"Peter Chen đơn giản thôi. Chơi với 3 que thì cứ sang Mỹ mà hát để kiếm tiền từ 3 que, về VN thì ae tẩy chay các show cùa ba này la dc :))",Peter Chen
"Peter Chen vợ chồng nó là nghệ sĩ xuất thân Việt Nam, nó vẫn cãi là nó không nhìn thấy cờ /// thì cũng ạ vợ chồng nó luôn...",Peter Chen
Phạm Ngọc Thiệu lần đầu tiên tôi biết con này là ca sĩ trước chỉ nghe qua đôi 3 lần quốc cơ quốc nghiệp biểu diễn xiếc,Phạm Ngọc Thiệu
"mắc giống ôn gì k chấp nhận dc, mày chắc đại diện dc cho toàn cõi VN mà lên tiếng k chấp nhận dc, hãm L",
"Hân Nguyễn tại ở Việt Nam thấy cái đó người ta lấy làm giẻ lau sàn chứ không ai treo như bên kia, mà t biết tụi m cũng muốn làm giẻ lau lắm nhưng ngặt nỗi là không có nước lau sàn không sạch nên chắc vẫn treo lên như vậy :))",Hân Nguyễn
"Huỳnh Minh Vương à, mới xem sơ sơ thấy ng bạc liêu, nào viết thư đi tị nạn đi chứ, campuchia nó xây xong đập thì chả còn miền tây nước ngọt đâu, ở đó mà lo treo cờ nào, cờ của mấy con bò đỏ thì cứ để đó mà ngắm đi, tao cũng chả quan tâm cờ gì, chỉ là c… See more",Huỳnh Minh Vương
"Hân Nguyễn đang mưa xuống không biết làm sau để hết ngập nước, à quên m làm gì có nước để mà lo :)) “tao cũng chả quan tâm cờ gì” đu càng chạy như chó nhà có tang vậy thì làm gì còn tinh thần để quan tâm cờ gì, còn đập điếc gì thì ko cần tụi 3/ bọn m l… See more",Hân Nguyễn
"Huỳnh Minh Vương
ừa, thì nhất mấy con bò đỏ yêu nước, ai nói gì đâu. Cứ hô hào vang dội vào, ăn lương dư luận viên cũng êm, bạc liêu ha",Huỳnh Minh Vương
"Phạm Ngọc Thiệu ae để ý ctrinh nào có con này tiến hành tẩy chạy ngay, CTY hay nhãn hàng nào cố tình diễn cũng cho nó 1 sao luôn. Có lẽ chúng ta còn quá dễ dãi với lũ que con này",Phạm Ngọc Thiệu
Hân Nguyễn chuyện nước VN để ng VN lo bọn mày ko đủ tư cách nói đến đâu,Hân Nguyễn
"Việt VippiV ồ đù, flex nhẹ quy trình bầu cử ở VN cho người ở VN đang k bik nghe chơi. hỏi nhẹ từ nhỏ đến lớn tự đi bầu dc bao nhiu lần ời... kkk",Việt VippiV
"Hân Nguyễn việc gì tao giải thích với kẻ ko phải ng VN, còn mày muốn biết lên gg mà tìm. Ok",Hân Nguyễn
Anh Le nó biết nhưng nó kệ,Anh Le
"Hân Nguyễn eo ôi tưởng sao học gì ko học lại đi học tư tưởng phát xít của thằng de len sy ky à!
Thế t hỏi mày nhá thế sao nga nó đặt vkhn ở cuba thì bố mỹ của mày lại dãy đành đạch thế gái",Hân Nguyễn
Hân Nguyễn có mình mày chấp nhận được thôi,Hân Nguyễn
Hân Nguyễn t cx đang muốn flex cho m cái quy trình bầu cử của vnch đây,Hân Nguyễn
Hân Nguyễn tao chê nha,Hân Nguyễn
"Peter Chen tôi chắc chắn là k ăn rồi, nhưng bạn thì chưa bảo chắc đã ăn :))",Peter Chen
Lỗ Trí Thâm tao ăn lol m///ẹ mày thôi chứ cái kia là mày ăn,Lỗ Trí Thâm
Peter Chen cay :)),Peter Chen
Hân Nguyễn chó này hay sủa ng lạ quá nhé,Hân Nguyễn
Peter Chen riêng cái tên của bạn là tôi không muốn nghe bạn nói rồi,Peter Chen
Hân Nguyễn chuyện nước t để bọn t lo mày có nước đéo đâu mà loi choi vậy ngu ngục,Hân Nguyễn
"Huỳnh Minh Vương giẻ lau nào ông, nó cấm thấm nước đâu mà lau",Huỳnh Minh Vương
Trung Bùi thì bác kia bảo giẻ lau mà thiếu nước lau sàn nên không sạch được đó bác,Trung Bùi
"Phạm Ngọc Thiệu về Việt nam nó vẫn còn cả đống fan thì tẩy kiểu gì? Hội 3/// trong nước cũng đông lắm, nhìn thằng đờm là hiểu kìa",Phạm Ngọc Thiệu
Hân Nguyễn ờ vì Việt nam vẫn còn một lũ 3/// nữa vẫn ôm mọng phụt quốc ai chả biết,Hân Nguyễn
"Hòa Dương làm gì đông hơn 100 triệu dân vn dc :))
Hiền Hồ, thủy tiên, hoài linh fan cũng nhiều, dổi cũng bị tẩy chay cho chìm luôn đó thôi. Giờ fan VN khác xưa r",
"Mạnh mẽ lên chị gái, chuyện gì rồi cũng sẽ qua thôi, 49 qua đi 53 tới. 54 chúa đi bộ vào nam và 5 nay cả nhà c lộ 1 ổ cali.",
Trầm Hương An Bình cop của ông ở trên à?,Trầm Hương An Bình
Trầm Hương An Bình mẹ bọn đạo văn,Trầm Hương An Bình
Đặng Tâm,Đặng Tâm
Đặng Tâm đừng nói thế mà xúc phạm con chó b ơi. Chó ở Mỹ còn được đúc tượng chứ lũ cali bằng sao được chó,Đặng Tâm
Đặng Tâm,Đặng Tâm
Bích Ngọc,Bích Ngọc
Nguyễn Văn Hiếu ông ơi cho tôi xin video với ạ. Có bằng chứng rành rành như này thì cứ đợi vụ này mà lắng xuống tôi sẽ vào spam,Nguyễn Văn Hiếu
Trần Hùng Thái check ib nè,Trần Hùng Thái
Đặng Tâm chung vs chó mà k làm bạn vs chó mới lạ.,Đặng Tâm
Đặng Tâm cùng loài cùng giống với nhau ngửi cái biết ngay.. khứu giác tốt thật..(KHÔN) lắm đây,Đặng Tâm
"Thiên Thạch Bùi ngoan nào ko đc cay,loài chó /// nhà bạn nhìn là biết mà,giống như loại chó mỹ nuôi ở Việt Nam lúc xưa thôi,ở VN cứt ko đủ ăn nên qua mỹ đớp cứt mỹ vs đồng loại mà ko có nước uống chắc cay lắm",Thiên Thạch Bùi
Thiên Thạch Bùi ê bắt dk con dog 3///,Thiên Thạch Bùi
Thiên Thạch Bùi 3 que xỏ lá. Giọng điệu cay cú,Thiên Thạch Bùi
Đặng Tâm chó đâu có đẻ trứng hihi,Đặng Tâm
Giấc mơ Mỹ thành hiện thực rồi đó,
Nguyễn Minh Khánh Trà câu này thì k cãi bay được nè,Nguyễn Minh Khánh Trà
Test máy phát hiện nói dối xem,
Lương Duy Kiên cháy mẹ máy,Lương Duy Kiên
Nguyễn Trung máy nó không cháy đâu. Quan trọng nó có điều khiển cảm súc với trí óc đượcnk,Nguyễn Trung
Lương Duy Kiên máy bốc hỏa luôn,Lương Duy Kiên
Lương Duy Kiên diễn viên nghệ sĩ nó diễn hơn thật test sao ra,Lương Duy Kiên
Nguyễn Cường trừ khi nó tự thôi miên mình trước. Tiêm cho liều khai hết,Nguyễn Cường
Lương Duy Kiên tiêm cho liều ngừng tim,Lương Duy Kiên
Lương Duy Kiên khó thê cũng ngĩ ra,Lương Duy Kiên
Lương Duy Kiên Test máy phát hiện nói dối xem ; con ' ho cho meo ' doat giai VO DIT ......... kkk,Lương Duy Kiên
Lương Duy Kiên mà đây là nhà của người quen mà. Đâu phải nhà của hai vợ chồng Đâu.,Lương Duy Kiên
Lương Duy Kiên cái lá cờ sờ sờ ra đó mà nó nói không thấy,Lương Duy Kiên
Lương Duy Kiên Máy kêu:Vợ chồng nó là trùm nói dối,Lương Duy Kiên
Con người phải có ý thức thấy c*t thì phải dọn :))),
Văn Toàn ờ! Để Bác làm gương cho mấy cháu nhé!,Văn Toàn
Văn Toàn top =)))),Văn Toàn
Cụ Tổng đã xem,
Nguyễn Minh Hải cụ méo rảnh để xem,Nguyễn Minh Hải
Quỳnh Hoàng uh.thì bọn cán bộ vn vẫn ùn ùn kéo qua đây muốn ăn bám đó thôi..lạ gì.mày đúng ếch ngồi đáy giếng.chưa có thẻ xanh phải ko.mày mơ đi.yêu nước đi..,Quỳnh Hoàng
Le Ngọc Kha bố cái thằng não tôm này. Bị ngu à,Le Ngọc Kha
Nguyễn Minh Hải xem chùi cũng bằng không thôi.cụ chuẩn bị qua đó ở luôn.các cháu đã bị lừa kkk,Nguyễn Minh Hải
Le Ngọc Kha nói mà t cười phọt cali,Le Ngọc Kha
Minh Tan Trinh cụ sắp đi rồi.cười cái đ..e..ó gì mày,Minh Tan Trinh
Le Ngọc Kha cụ đi thì cụ cũng ở việt nam nhé,Le Ngọc Kha
Minh Tan Trinh cụ đi trị bệnh,Minh Tan Trinh
"Le Ngọc Kha việt nam tao k thiếu bs giỏi, phản động cút cmm đi",Le Ngọc Kha
Tuấn Kaka vn gỏi lắm...giỏi ăn....,Tuấn Kaka
Le Ngọc Kha đéo đi ăn bám Cali như cmm chúng mày,Le Ngọc Kha
Le Ngọc Kha khát nước k nhóc . Đái cho ngậm này,Le Ngọc Kha
